City,Latitude,Longitude,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (mph)
mayumba,-3.432,10.6554,26.44,77,98,1.74
haines junction,60.7522,-137.5108,-18.04,100,97,0.38
muret,43.3333,1.25,3.0,85,100,1.34
morgan city,29.6994,-91.2068,20.05,64,0,6.17
port macquarie,-31.4333,152.9167,21.61,91,47,4.37
thinadhoo,0.5333,72.9333,27.35,77,64,5.73
rawson,-43.3002,-65.1023,26.92,27,0,2.26
shingu,33.7333,135.9833,0.42,68,3,3.82
nishihara,26.1842,127.7558,10.6,82,75,6.69
nyurba,63.2842,118.3319,-48.08,100,63,1.29
boysun,38.2061,67.1986,0.0,61,100,2.01
cajamarca,-7.1638,-78.5003,20.04,64,75,3.6
piacabucu,-10.4056,-36.4344,29.95,54,5,5.68
tateyama,34.9833,139.8667,5.38,60,42,4.8
hay river,60.8156,-115.7999,-20.94,87,65,6.67
bowen,-20.0167,148.2333,25.65,86,40,5.64
nikki,9.9401,3.2108,36.07,11,74,1.4
manta,-0.95,-80.7333,28.88,65,40,3.09
mtwara,-10.2667,40.1833,26.24,79,23,4.92
port-gentil,-0.7193,8.7815,27.31,73,66,4.12
barstow,34.8986,-117.0228,7.55,41,0,0.91
mangrol,21.1167,70.1167,21.61,72,0,3.26
wanaka,-44.7,169.15,13.39,77,0,0.89
jalu,29.0331,21.5482,15.14,36,27,3.46
calvinia,-31.4707,19.776,23.45,43,1,9.5
bluefield,37.2698,-81.2223,7.15,49,0,4.63
concepcion del oro,24.6333,-101.4167,13.96,40,100,3.23
kiunga,-6.1219,141.2906,23.3,100,100,0.58
kapoeta,4.7717,33.5903,31.91,22,3,6.51
gatton,-27.55,152.2833,22.03,97,12,0.25
kalmunai,7.4167,81.8167,22.91,75,98,4.42
hasaki,35.7333,140.8333,-0.78,41,56,5.48
hervey bay,-25.2986,152.8535,24.51,83,8,2.53
ostersund,63.1792,14.6357,0.25,86,75,9.26
fuerte olimpo,-21.0415,-57.8738,35.01,42,90,2.29
manturovo,58.3353,44.7619,-18.09,100,86,1.88
hovd,48.0056,91.6419,-17.84,82,1,0.65
russkaya polyana,49.417,31.9201,-1.96,67,76,3.89
magadan,59.5667,150.8,-18.33,90,100,3.98
namatanai,-3.6667,152.4333,26.33,82,34,2.54
swellendam,-34.0226,20.4417,16.01,84,100,4.81
iki-burul,45.8208,44.6472,0.15,92,98,6.21
uyuni,-20.4597,-66.825,18.91,27,98,7.25
shache,38.4167,77.2406,-9.96,94,79,0.78
yamada,39.4667,141.95,-4.63,54,48,6.12
san martin,-33.081,-68.4681,31.18,31,1,4.47
